Group,Person,Rating
Marketing,A,14.90791662
Marketing,B,11.77541242
Marketing,C,10.1041425
Marketing,D,23.38556471
Marketing,A,16.36069068
Marketing,B,14.17309587
Marketing,C,11.18180926
Marketing,D,20.66411022
Marketing,A,17.50647941
Marketing,B,11.47192872
Marketing,C,13.79551121
Marketing,D,16.9890131
Marketing,A,16.13029924
Marketing,B,11.83542177
Marketing,C,16.52422546
Marketing,D,16.2604708
Marketing,A,13.72673998
Marketing,B,17.17348104
Marketing,C,13.39423101
Marketing,D,20.84087566
Sales,AA,34.78458355
Sales,BB,28.92265828
Sales,CC,31.68091908
Sales,DD,39.41863161
Sales,AA,34.73167592
Sales,BB,34.18176547
Sales,CC,30.49097931
Sales,DD,39.06621649
Sales,AA,40.20953886
Sales,BB,31.71353744
Sales,CC,37.41525312
Sales,DD,37.8253632
Sales,AA,33.82469214
Sales,BB,34.46000778
Sales,CC,32.30552666
Sales,DD,35.57531988
Sales,AA,38.36228252
Sales,BB,26.5410002
Sales,CC,30.86774296
Sales,DD,40.25041675
