fecha,apertura,maximo,minimo,cierre,volumen,openint
"2009-10-09","13.10000","13.32","12.57","12.75000","330619","0"
"2009-10-12","13.83000","13.83","12.75","12.90000","11330","0"
"2009-10-13","13.05000","13.05","12.45","12.64000","165314","0"
"2009-10-14","12.75000","12.75","12.25","12.58000","282750","0"
"2009-10-15","12.60000","12.6","12.45","12.50000","234070","0"
"2009-10-16","12.65000","12.9","12.49","12.55000","143850","0"
"2009-10-19","12.50000","12.63","12.48","12.53000","34924","0"
"2009-10-20","12.51000","12.51","12.3","12.40000","83371","0"
"2009-10-21","12.37000","12.37","12.18","12.20000","48244","0"
"2009-10-22","12.20000","12.23","11.81","12.23000","81984","0"
"2009-10-23","12.24000","12.26","12.032","12.26000","34180","0"
"2009-10-26","12.28000","12.35","11.92","12.00000","34570","0"
"2009-10-27","11.98000","12.02","11.6","11.81000","52018","0"
"2009-10-28","11.75000","11.75","11.17","11.30000","71033","0"
"2009-10-29","11.30000","11.5","11.24","11.48010","6200","0"
"2009-10-30","11.48000","11.48","10.79","10.95000","57932","0"
"2009-11-02","10.99000","11.1","10.9","10.95000","26100","0"
"2009-11-03","10.94000","11.3","10.8699","11.23000","83008","0"
"2009-11-04","11.40000","11.6","11.1","11.36000","37833","0"
"2009-11-05","11.44000","11.44","11.1","11.15000","21525","0"
"2009-11-06","11.12000","11.5","11.12","11.33000","26600","0"
"2009-11-09","11.39000","11.39","11","11.14000","45500","0"
"2009-11-10","11.34000","11.34","11.03","11.08000","26057","0"
"2009-11-11","11.14000","11.16","10.95","11.01000","11818","0"
"2009-11-12","11.05000","11.06","10.95","10.95000","9300","0"
"2009-11-13","10.95000","11.02","10.95","10.96000","19805","0"
"2009-11-16","10.97000","11.1001","10.97","11.03000","30881","0"
"2009-11-17","10.99000","11.03","10.852","10.85200","14464","0"
"2009-11-18","10.86000","11","10.86","11.00000","12500","0"
"2009-11-19","11.10000","11.3001","10.95","11.09990","29789","0"
"2009-11-20","11.20000","11.4433","11.2","11.28000","39050","0"
"2009-11-23","11.27000","11.35","11.2","11.24000","16900","0"
"2009-11-24","11.24000","11.25","11.09","11.11000","27679","0"
"2009-11-25","11.10000","11.13","11.05","11.08990","9085","0"
"2009-11-27","10.99000","10.99","10.7","10.73000","6500","0"
"2009-11-30","10.75000","10.75","10.55","10.56000","11600","0"
"2009-12-01","10.62000","10.9","10.55","10.75000","31200","0"
"2009-12-02","10.72000","10.86","10.7","10.73000","11940","0"
"2009-12-03","10.73000","10.74","10.6","10.65480","15510","0"
"2009-12-04","10.85000","10.95","10.6","10.85000","16500","0"
"2009-12-07","11.01000","11.01","10.59","10.62070","14125","0"
"2009-12-08","10.75000","11","10.22","10.76000","51659","0"
"2009-12-09","10.77000","10.77","10.55","10.64000","25010","0"
"2009-12-10","10.49000","10.8","10.49","10.60000","41170","0"
"2009-12-11","10.85000","10.85","10.51","10.57000","41800","0"
"2009-12-14","10.71000","10.79","10.61","10.67000","14800","0"
"2009-12-15","10.76000","10.79","10.55","10.55000","292585","0"
"2009-12-16","10.69000","10.72","10.54","10.65000","494434","0"
"2009-12-17","10.90000","10.9","10.6","10.86000","116590","0"
"2009-12-18","10.95000","11.5","10.85","11.50000","201700","0"
