Person,Vote
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,0
174,0
175,1
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,0
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,0
276,0
277,1
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,0
343,1
344,0
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,0
353,0
354,1
355,1
356,1
357,1
358,1
359,0
360,0
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,1
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,0
377,1
378,1
379,1
380,0
381,0
382,1
383,1
384,0
385,0
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,0
398,1
399,1
400,1
401,1
402,1
403,0
404,1
405,1
406,0
407,0
408,1
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,0
