Math,History,Physics
7.308051,6.031917867,5.399676466
7.961098574,5.52100645,3.062257654
6.708068407,5.156177658,5.409130753
6.664234175,2.290215704,4.973637431
5.674486321,7.066650573,3.853662738
6.305229251,4.102209033,5.488794715
7.037851958,6.977884125,4.999645967
5.873399355,3.035313698,5.616073029
8.965466104,4.469932504,6.423383902
7.32781366,6.052550515,4.866234816
7.037130429,5.011006406,4.640488429
7.096712894,4.833571375,4.736211217
6.731062063,5.75162035,5.215798086
4.978756537,2.90345973,6.554901063
6.587293313,4.90084718,5.084460378
7.138678802,5.485623428,4.47725383
8.280301701,4.582234406,5.484494517
6.201438959,4.371834035,4.657069019
7.808158031,6.22813233,6.129254834
5.651096685,1.738300398,1.607499962
6.874128428,5.504307343,6.13915244
6.463935306,4.697253652,3.192027427
6.220722442,5.757863098,4.113953927
6.445824508,2.771830783,5.103192595
6.678663155,8.029336522,5.113092365
7.082721911,5.709042293,5.727073121
7.603191364,6.714863306,5.176865965
7.555913732,4.13073516,4.513335781
7.953428572,5.815448806,7.241615122
6.957933131,6.05991093,3.126259593
6.764081152,4.641623632,5.909921851
4.276424427,3.353276267,3.282571575
7.721871259,5.829271087,3.926659846
6.752646569,6.681842271,3.950696727
8.897547842,4.744615991,5.74811589
7.617872187,5.1868785,4.963567063
6.665565683,4.697416568,5.003406948
6.890070661,3.754177268,4.910101801
5.736993199,2.564874751,5.007470128
6.252128481,3.766873249,3.620119894
6.783873696,5.678035106,4.890145207
3.635280248,3.241978514,5.261901767
9.179688338,7.619037734,6.356205266
6.819702359,4.829837326,3.192784379
6.801416426,6.378889307,5.628936868
4.563932927,2.198503479,5.657221205
7.062571858,6.186874607,5.009547758
5.055471009,3.395172922,3.9799783
7.291557081,5.611848732,3.944939048
9.278822414,7.94468417,6.284348292
